Wall time,Step,Value
1788981075.1878853,4500,69.92323303222656
1788981435.3240988,9000,76.59662628173828
1788981800.9382184,13500,75.847900390625
1788982180.6489077,18000,68.78719329833984
1788982564.2597644,22500,67.78865814208984
1788982929.137956,27000,76.55366516113281
1788983297.7479503,31500,74.63085174560547
1788983664.1901278,36000,73.36296081542969
1788984051.2979877,40500,67.95918273925781
1788984428.2016912,45000,70.51380920410156
1788984802.3240316,49500,73.00386047363281
1788985172.568461,54000,74.85989379882812
1788985546.946094,58500,72.87930297851562
1788985922.5320535,63000,74.75733947753906
1788986277.7222583,67500,78.7468490600586
1788986653.3783448,72000,71.72784423828125
1788987010.1232283,76500,77.44241333007812
1788987369.2993402,81000,74.87136840820312
1788987724.5551157,85500,74.82243347167969
1788988088.1510792,90000,68.51290893554688
1788988431.6930041,94500,71.64666748046875
1788988783.3590333,99000,67.56836700439453
1788989125.8966897,103500,72.97607421875
1788989475.3012352,108000,68.16629791259766
1788989818.9373934,112500,72.92475128173828
1788990153.4485972,117000,76.1773910522461
1788990482.0144095,121500,77.592041015625
1788990813.3489792,126000,79.43205261230469
1788991161.118113,130500,67.9716567993164
1788991500.5668814,135000,73.81880950927734
1788991824.9963999,139500,80.38982391357422
1788992162.5188725,144000,72.66328430175781
1788992498.3141558,148500,75.27560424804688
1788992829.295578,153000,79.09283447265625
1788993158.9757266,157500,78.08576202392578
1788993498.726974,162000,71.6735610961914
1788993833.8153155,166500,77.16831970214844
1788994173.1609733,171000,73.31069946289062
1788994506.2908611,175500,76.52751159667969
1788994837.5277586,180000,79.0580825805664
1788995167.9246955,184500,77.37564086914062
1788995502.898126,189000,75.42938232421875
1788995831.7857866,193500,77.77742767333984
1788996162.7266786,198000,78.34723663330078
1788996482.9187312,202500,85.4122085571289
1788996801.5792956,207000,84.72949981689453
1788997124.3346298,211500,81.9865493774414
1788997447.2752433,216000,81.33988189697266
1788997770.8879654,220500,79.25023651123047
1788998093.9117167,225000,84.82202911376953
1788998425.7400765,229500,77.09027862548828
1788998750.3679898,234000,81.98265075683594
1788999072.6321454,238500,83.38926696777344
1788999395.074243,243000,80.86685943603516
1788999724.7557259,247500,77.28535461425781
1789000053.802993,252000,78.20809936523438
1789000382.1139967,256500,79.46306610107422
1789000710.4551604,261000,80.27994537353516
1789001036.3386424,265500,82.4485092163086
1789001365.041832,270000,77.2553482055664
1789001691.269548,274500,79.77197265625
1789002018.5976875,279000,81.65361785888672
1789002339.7951417,283500,84.17420959472656
1789002652.061474,288000,91.11665344238281
1789002974.7534246,292500,80.7057113647461
1789003295.38539,297000,86.72565460205078
1789003613.7241547,301500,84.84136962890625
1789003930.6715693,306000,87.31350708007812
1789004249.1665454,310500,87.60983276367188
1789004565.4768662,315000,88.90532684326172
1789004880.7264774,319500,85.91386413574219
1789005201.2549536,324000,86.72126770019531
1789005519.5312843,328500,89.37602996826172
1789005834.5929558,333000,89.29127502441406
1789006152.3679912,337500,86.35301971435547
1789006473.912939,342000,84.9775161743164
1789006793.1085076,346500,88.26344299316406
1789007112.3418825,351000,85.7243423461914
1789007431.3206685,355500,87.48287200927734
1789007752.177908,360000,84.42176818847656
1789008064.8343613,364500,93.5909194946289
1789008383.3904524,369000,90.317138671875
1789008707.0395248,373500,85.04047393798828
1789009024.8521175,378000,90.14891815185547
1789009338.0664155,382500,94.93944549560547
1789009658.2947893,387000,87.29776763916016
