Wall time,Step,Value
1781399996.8196595,4500,12.865203857421875
1781400387.092011,9000,13.076279640197754
1781400752.4994788,13500,15.34040641784668
1781401122.1860125,18000,13.0560884475708
1781401477.4582503,22500,16.766504287719727
1781401845.29179,27000,16.096290588378906
1781402206.1092963,31500,18.549158096313477
1781402569.2135525,36000,11.912074089050293
1781402905.6090708,40500,21.697351455688477
1781403259.4165008,45000,14.180266380310059
1781403607.3139207,49500,13.87083625793457
1781403961.1759994,54000,16.30908203125
1781404302.8324604,58500,20.330278396606445
1781404643.5535846,63000,19.269636154174805
1781404980.8739996,67500,20.398534774780273
1781405323.4822056,72000,13.452466011047363
1781405664.2021487,76500,17.634328842163086
1781406000.8604167,81000,22.20126724243164
1781406340.7358737,85500,17.0033016204834
1781406678.556276,90000,21.616065979003906
1781407006.0700817,94500,23.671716690063477
1781407347.920332,99000,17.810134887695312
1781407685.4327047,103500,21.050006866455078
1781408035.7921643,108000,17.14570426940918
1781408370.207257,112500,24.072160720825195
1781408703.6673148,117000,23.805532455444336
1781409036.222265,121500,24.29398536682129
1781409374.0503144,126000,20.784351348876953
1781409703.4490793,130500,28.66141128540039
1781410043.5214975,135000,22.34564781188965
1781410377.1937737,139500,26.718059539794922
1781410706.3394496,144000,30.718236923217773
1781411039.1466196,148500,23.441600799560547
1781411363.5768828,153000,29.46858787536621
1781411697.509963,157500,22.410829544067383
1781412023.386415,162000,30.858051300048828
1781412352.8336487,166500,29.78841781616211
1781412688.8482466,171000,27.350753784179688
1781413019.009975,175500,30.033205032348633
1781413347.3071706,180000,31.261844635009766
1781413671.288175,184500,30.859886169433594
1781413997.458206,189000,31.381839752197266
1781414322.6985059,193500,30.763309478759766
1781414654.955594,198000,30.559024810791016
1781414979.6865861,202500,34.066532135009766
1781415307.450165,207000,32.34839630126953
1781415628.1122136,211500,34.730751037597656
1781415957.097508,216000,30.796419143676758
1781416291.0040421,220500,32.110958099365234
1781416629.2717118,225000,29.510377883911133
1781416972.2786975,229500,34.14506149291992
1781417304.864981,234000,29.732833862304688
1781417628.1635768,238500,36.083335876464844
1781417954.180509,243000,31.477907180786133
1781418298.8154309,247500,35.21540451049805
1781418641.0117574,252000,32.58370590209961
1781418978.5489435,256500,29.51263999938965
1781419305.4982393,261000,31.975831985473633
1781419640.8308246,265500,34.20869445800781
1781419966.9771774,270000,34.925228118896484
1781420313.4916203,274500,33.380889892578125
1781420645.112183,279000,39.38852310180664
1781420976.8690917,283500,40.50860595703125
